{'City': '0', 'TotalValue': '30'}
{'City': '70', 'TotalValue': '438'}
{'City': '71', 'TotalValue': '455'}
{'City': '72', 'TotalValue': '472'}
{'City': '73', 'TotalValue': '482'}
{'City': '74', 'TotalValue': '491'}
{'City': '75', 'TotalValue': '496'}
{'City': '76', 'TotalValue': '501'}
{'City': '77', 'TotalValue': '501'}
{'City': '78', 'TotalValue': '501'}
{'City': '79', 'TotalValue': '526'}
{'City': '80', 'TotalValue': '534'}
{'City': '81', 'TotalValue': '498'}
{'City': '82', 'TotalValue': '498'}
{'City': '83', 'TotalValue': '501'}
{'City': '84', 'TotalValue': '502'}
{'City': '85', 'TotalValue': '502'}
{'City': '86', 'TotalValue': '502'}
{'City': '87', 'TotalValue': '539'}
{'City': '88', 'TotalValue': '542'}
{'City': '89', 'TotalValue': '586'}
{'City': '90', 'TotalValue': '608'}
{'City': '91', 'TotalValue': '633'}
{'City': '92', 'TotalValue': '642'}
{'City': '93', 'TotalValue': '669'}
{'City': '94', 'TotalValue': '685'}
{'City': '95', 'TotalValue': '686'}
{'City': '96', 'TotalValue': '686'}
{'City': '97', 'TotalValue': '686'}
{'City': '98', 'TotalValue': '689'}
{'City': '99', 'TotalValue': '689'}
{'City': '100', 'TotalValue': '689'}
{'City': '101', 'TotalValue': '699'}
{'City': '102', 'TotalValue': '699'}
{'City': '103', 'TotalValue': '710'}
{'City': '104', 'TotalValue': '711'}
{'City': '105', 'TotalValue': '711'}
{'City': '106', 'TotalValue': '718'}
{'City': '107', 'TotalValue': '534'}
{'City': '108', 'TotalValue': '534'}
{'City': '109', 'TotalValue': '534'}
{'City': '110', 'TotalValue': '542'}
{'City': '111', 'TotalValue': '625'}
{'City': '112', 'TotalValue': '625'}
{'City': '113', 'TotalValue': '628'}
{'City': '114', 'TotalValue': '631'}
{'City': '115', 'TotalValue': '638'}
{'City': '116', 'TotalValue': '671'}
{'City': '117', 'TotalValue': '677'}
{'City': '118', 'TotalValue': '677'}
{'City': '119', 'TotalValue': '686'}
{'City': '120', 'TotalValue': '686'}
{'City': '121', 'TotalValue': '700'}
{'City': '122', 'TotalValue': '706'}
{'City': '123', 'TotalValue': '711'}
{'City': '124', 'TotalValue': '718'}
{'City': '125', 'TotalValue': '718'}
{'City': '126', 'TotalValue': '741'}
{'City': '127', 'TotalValue': '743'}
{'City': '128', 'TotalValue': '743'}
{'City': '129', 'TotalValue': '748'}
{'City': '130', 'TotalValue': '757'}
{'City': '131', 'TotalValue': '773'}
{'City': '132', 'TotalValue': '773'}
{'City': '133', 'TotalValue': '774'}
{'City': '134', 'TotalValue': '718'}
{'City': '135', 'TotalValue': '722'}
{'City': '136', 'TotalValue': '773'}
{'City': '137', 'TotalValue': '794'}
{'City': '138', 'TotalValue': '798'}
{'City': '139', 'TotalValue': '798'}
{'City': '140', 'TotalValue': '845'}
{'City': '141', 'TotalValue': '845'}
{'City': '142', 'TotalValue': '851'}
{'City': '143', 'TotalValue': '876'}
{'City': '144', 'TotalValue': '886'}
{'City': '145', 'TotalValue': '909'}
{'City': '146', 'TotalValue': '911'}
{'City': '147', 'TotalValue': '918'}
{'City': '148', 'TotalValue': '919'}
{'City': '149', 'TotalValue': '950'}
{'City': '150', 'TotalValue': '964'}
{'City': '151', 'TotalValue': '984'}
{'City': '152', 'TotalValue': '986'}
{'City': '153', 'TotalValue': '999'}
{'City': '154', 'TotalValue': '1003'}
{'City': '155', 'TotalValue': '1027'}
{'City': '156', 'TotalValue': '1032'}
{'City': '157', 'TotalValue': '1032'}
{'City': '158', 'TotalValue': '1037'}
{'City': '159', 'TotalValue': '1057'}
{'City': '160', 'TotalValue': '1062'}
{'City': '161', 'TotalValue': '798'}
{'City': '162', 'TotalValue': '798'}
{'City': '163', 'TotalValue': '808'}
{'City': '164', 'TotalValue': '828'}
{'City': '165', 'TotalValue': '845'}
{'City': '166', 'TotalValue': '860'}
{'City': '167', 'TotalValue': '886'}
{'City': '168', 'TotalValue': '888'}
{'City': '169', 'TotalValue': '893'}
{'City': '170', 'TotalValue': '893'}
{'City': '171', 'TotalValue': '908'}
{'City': '172', 'TotalValue': '909'}
{'City': '173', 'TotalValue': '916'}
{'City': '174', 'TotalValue': '926'}
{'City': '175', 'TotalValue': '943'}
{'City': '176', 'TotalValue': '987'}
{'City': '177', 'TotalValue': '1003'}
{'City': '178', 'TotalValue': '1009'}
{'City': '179', 'TotalValue': '1047'}
{'City': '180', 'TotalValue': '1062'}
{'City': '181', 'TotalValue': '1073'}
{'City': '182', 'TotalValue': '1082'}
{'City': '183', 'TotalValue': '1096'}
{'City': '184', 'TotalValue': '1103'}
{'City': '185', 'TotalValue': '1105'}
{'City': '186', 'TotalValue': '1156'}
{'City': '187', 'TotalValue': '1097'}
{'City': '188', 'TotalValue': '1103'}
{'City': '189', 'TotalValue': '1113'}
{'City': '190', 'TotalValue': '1122'}
{'City': '191', 'TotalValue': '1122'}
{'City': '192', 'TotalValue': '1144'}
{'City': '193', 'TotalValue': '1146'}
{'City': '194', 'TotalValue': '1162'}
{'City': '195', 'TotalValue': '1165'}
{'City': '196', 'TotalValue': '1165'}
{'City': '197', 'TotalValue': '1166'}
{'City': '198', 'TotalValue': '1185'}
{'City': '199', 'TotalValue': '1193'}
{'City': '200', 'TotalValue': '1207'}
{'City': '201', 'TotalValue': '1212'}
{'City': '202', 'TotalValue': '1214'}
{'City': '203', 'TotalValue': '1216'}
{'City': '204', 'TotalValue': '1235'}
{'City': '205', 'TotalValue': '1271'}
{'City': '206', 'TotalValue': '1272'}
{'City': '207', 'TotalValue': '1275'}
{'City': '208', 'TotalValue': '1283'}
{'City': '209', 'TotalValue': '1290'}
{'City': '210', 'TotalValue': '1300'}
{'City': '211', 'TotalValue': '1305'}
{'City': '212', 'TotalValue': '1305'}
{'City': '213', 'TotalValue': '1156'}
{'City': '214', 'TotalValue': '1185'}
{'City': '215', 'TotalValue': '1185'}
{'City': '216', 'TotalValue': '1186'}
{'City': '217', 'TotalValue': '1235'}
{'City': '218', 'TotalValue': '1256'}
{'City': '219', 'TotalValue': '1262'}
{'City': '220', 'TotalValue': '1267'}
{'City': '221', 'TotalValue': '1281'}
{'City': '222', 'TotalValue': '1290'}
{'City': '223', 'TotalValue': '1320'}
{'City': '224', 'TotalValue': '1320'}
{'City': '225', 'TotalValue': '1327'}
{'City': '226', 'TotalValue': '1339'}
{'City': '227', 'TotalValue': '1343'}
{'City': '228', 'TotalValue': '1356'}
{'City': '229', 'TotalValue': '1372'}
{'City': '230', 'TotalValue': '1373'}
{'City': '231', 'TotalValue': '1396'}
{'City': '232', 'TotalValue': '1396'}
{'City': '233', 'TotalValue': '1419'}
{'City': '234', 'TotalValue': '1421'}
{'City': '235', 'TotalValue': '1421'}
{'City': '236', 'TotalValue': '1431'}
{'City': '237', 'TotalValue': '1465'}
{'City': '238', 'TotalValue': '1465'}
{'City': '239', 'TotalValue': '1305'}
{'City': '240', 'TotalValue': '1329'}
{'City': '241', 'TotalValue': '1336'}
{'City': '242', 'TotalValue': '1356'}
{'City': '243', 'TotalValue': '1372'}
{'City': '244', 'TotalValue': '1382'}
{'City': '245', 'TotalValue': '1411'}
{'City': '246', 'TotalValue': '1418'}
{'City': '247', 'TotalValue': '1421'}
{'City': '248', 'TotalValue': '1422'}
{'City': '249', 'TotalValue': '1448'}
{'City': '250', 'TotalValue': '1451'}
{'City': '251', 'TotalValue': '1453'}
{'City': '252', 'TotalValue': '1488'}
{'City': '253', 'TotalValue': '1494'}
{'City': '254', 'TotalValue': '1494'}
{'City': '255', 'TotalValue': '1494'}
{'City': '256', 'TotalValue': '1499'}
{'City': '257', 'TotalValue': '1505'}
{'City': '258', 'TotalValue': '1505'}
{'City': '259', 'TotalValue': '1516'}
{'City': '260', 'TotalValue': '1516'}
{'City': '261', 'TotalValue': '1518'}
{'City': '262', 'TotalValue': '1556'}
{'City': '263', 'TotalValue': '1556'}
{'City': '264', 'TotalValue': '1569'}
{'City': '265', 'TotalValue': '1570'}
{'City': '266', 'TotalValue': '1465'}
{'City': '267', 'TotalValue': '1469'}
{'City': '268', 'TotalValue': '1474'}
{'City': '269', 'TotalValue': '1474'}
{'City': '270', 'TotalValue': '1474'}
{'City': '271', 'TotalValue': '1488'}
{'City': '272', 'TotalValue': '1504'}
{'City': '273', 'TotalValue': '1518'}
{'City': '274', 'TotalValue': '1523'}
{'City': '275', 'TotalValue': '1523'}
{'City': '276', 'TotalValue': '1571'}
{'City': '277', 'TotalValue': '1576'}
{'City': '278', 'TotalValue': '1602'}
{'City': '279', 'TotalValue': '1621'}
{'City': '280', 'TotalValue': '1621'}
{'City': '281', 'TotalValue': '1635'}
{'City': '282', 'TotalValue': '1641'}
{'City': '283', 'TotalValue': '1641'}
{'City': '284', 'TotalValue': '1646'}
{'City': '285', 'TotalValue': '1646'}
{'City': '286', 'TotalValue': '1664'}
{'City': '287', 'TotalValue': '1731'}
{'City': '288', 'TotalValue': '1741'}
{'City': '289', 'TotalValue': '1743'}
{'City': '290', 'TotalValue': '1757'}
{'City': '291', 'TotalValue': '1768'}
{'City': '292', 'TotalValue': '1785'}
{'City': '293', 'TotalValue': '1582'}
{'City': '294', 'TotalValue': '1592'}
{'City': '295', 'TotalValue': '1602'}
{'City': '296', 'TotalValue': '1619'}
{'City': '297', 'TotalValue': '1619'}
{'City': '298', 'TotalValue': '1625'}
{'City': '299', 'TotalValue': '1651'}
{'City': '300', 'TotalValue': '1720'}
{'City': '301', 'TotalValue': '1728'}
{'City': '302', 'TotalValue': '1728'}
{'City': '303', 'TotalValue': '1752'}
{'City': '304', 'TotalValue': '1767'}
{'City': '305', 'TotalValue': '1801'}
{'City': '306', 'TotalValue': '1819'}
{'City': '307', 'TotalValue': '1850'}
{'City': '308', 'TotalValue': '1857'}
{'City': '309', 'TotalValue': '1884'}
{'City': '310', 'TotalValue': '1901'}
{'City': '311', 'TotalValue': '1917'}
{'City': '312', 'TotalValue': '1922'}
{'City': '313', 'TotalValue': '1936'}
{'City': '314', 'TotalValue': '1937'}
{'City': '315', 'TotalValue': '1937'}
{'City': '316', 'TotalValue': '1947'}
{'City': '317', 'TotalValue': '1965'}
{'City': '318', 'TotalValue': '1987'}
{'City': '319', 'TotalValue': '2019'}
{'City': '320', 'TotalValue': '1801'}
{'City': '321', 'TotalValue': '1801'}
{'City': '322', 'TotalValue': '1819'}
{'City': '323', 'TotalValue': '1819'}
{'City': '324', 'TotalValue': '1834'}
{'City': '325', 'TotalValue': '1841'}
{'City': '326', 'TotalValue': '1843'}
{'City': '327', 'TotalValue': '1866'}
{'City': '328', 'TotalValue': '1916'}
{'City': '329', 'TotalValue': '1937'}
{'City': '330', 'TotalValue': '1951'}
{'City': '331', 'TotalValue': '1987'}
{'City': '332', 'TotalValue': '2159'}
{'City': '333', 'TotalValue': '2202'}
{'City': '334', 'TotalValue': '2218'}
{'City': '335', 'TotalValue': '2225'}
{'City': '336', 'TotalValue': '2243'}
{'City': '337', 'TotalValue': '2304'}
{'City': '338', 'TotalValue': '2314'}
{'City': '339', 'TotalValue': '2351'}
{'City': '340', 'TotalValue': '2351'}
{'City': '341', 'TotalValue': '2384'}
{'City': '342', 'TotalValue': '2387'}
{'City': '343', 'TotalValue': '2392'}
{'City': '344', 'TotalValue': '2392'}
{'City': '345', 'TotalValue': '2399'}
{'City': '346', 'TotalValue': '2019'}
{'City': '347', 'TotalValue': '2024'}
{'City': '348', 'TotalValue': '2037'}
{'City': '349', 'TotalValue': '2058'}
{'City': '350', 'TotalValue': '2064'}
{'City': '351', 'TotalValue': '2065'}
{'City': '352', 'TotalValue': '2072'}
{'City': '353', 'TotalValue': '2076'}
{'City': '354', 'TotalValue': '2077'}
{'City': '355', 'TotalValue': '2116'}
{'City': '356', 'TotalValue': '2133'}
{'City': '357', 'TotalValue': '2139'}
{'City': '358', 'TotalValue': '2139'}
{'City': '359', 'TotalValue': '2141'}
{'City': '360', 'TotalValue': '2147'}
{'City': '361', 'TotalValue': '2159'}
{'City': '362', 'TotalValue': '2159'}
{'City': '363', 'TotalValue': '2202'}
{'City': '364', 'TotalValue': '2243'}
{'City': '365', 'TotalValue': '2262'}
{'City': '366', 'TotalValue': '2313'}
{'City': '367', 'TotalValue': '2314'}
{'City': '368', 'TotalValue': '2318'}
{'City': '369', 'TotalValue': '2323'}
{'City': '370', 'TotalValue': '2351'}
{'City': '371', 'TotalValue': '2364'}
{'City': '372', 'TotalValue': '2400'}
{'City': '373', 'TotalValue': '2427'}
{'City': '374', 'TotalValue': '2432'}
{'City': '375', 'TotalValue': '2438'}
{'City': '376', 'TotalValue': '2443'}
{'City': '377', 'TotalValue': '2444'}
{'City': '378', 'TotalValue': '2444'}
{'City': '379', 'TotalValue': '2448'}
{'City': '380', 'TotalValue': '2474'}
{'City': '381', 'TotalValue': '2474'}
{'City': '382', 'TotalValue': '2509'}
{'City': '383', 'TotalValue': '2565'}
{'City': '384', 'TotalValue': '2570'}
{'City': '385', 'TotalValue': '2577'}
{'City': '386', 'TotalValue': '2601'}
{'City': '387', 'TotalValue': '2624'}
{'City': '388', 'TotalValue': '2667'}
{'City': '389', 'TotalValue': '2675'}
{'City': '390', 'TotalValue': '2712'}
{'City': '391', 'TotalValue': '2712'}
{'City': '392', 'TotalValue': '2726'}
{'City': '393', 'TotalValue': '2731'}
{'City': '394', 'TotalValue': '2751'}
{'City': '395', 'TotalValue': '2780'}
{'City': '396', 'TotalValue': '2780'}
{'City': '397', 'TotalValue': '2802'}
{'City': '398', 'TotalValue': '2802'}
{'City': '399', 'TotalValue': '2391'}
{'City': '400', 'TotalValue': '2392'}
{'City': '401', 'TotalValue': '2399'}
{'City': '402', 'TotalValue': '2425'}
{'City': '403', 'TotalValue': '2455'}
{'City': '404', 'TotalValue': '2468'}
{'City': '405', 'TotalValue': '2473'}
{'City': '406', 'TotalValue': '2483'}
{'City': '407', 'TotalValue': '2484'}
{'City': '408', 'TotalValue': '2495'}
{'City': '409', 'TotalValue': '2547'}
{'City': '410', 'TotalValue': '2566'}
{'City': '411', 'TotalValue': '2566'}
{'City': '412', 'TotalValue': '2567'}
{'City': '413', 'TotalValue': '2569'}
{'City': '414', 'TotalValue': '2570'}
{'City': '415', 'TotalValue': '2577'}
{'City': '416', 'TotalValue': '2588'}
{'City': '417', 'TotalValue': '2589'}
{'City': '418', 'TotalValue': '2601'}
{'City': '419', 'TotalValue': '2604'}
{'City': '420', 'TotalValue': '2609'}
{'City': '421', 'TotalValue': '2624'}
{'City': '422', 'TotalValue': '2628'}
{'City': '423', 'TotalValue': '2658'}
{'City': '424', 'TotalValue': '2666'}
{'City': '425', 'TotalValue': '2684'}
{'City': '426', 'TotalValue': '2804'}
{'City': '427', 'TotalValue': '2804'}
{'City': '428', 'TotalValue': '2810'}
{'City': '429', 'TotalValue': '2811'}
{'City': '430', 'TotalValue': '2811'}
{'City': '431', 'TotalValue': '2830'}
{'City': '432', 'TotalValue': '2855'}
{'City': '433', 'TotalValue': '2855'}
{'City': '434', 'TotalValue': '2863'}
{'City': '435', 'TotalValue': '2882'}
{'City': '436', 'TotalValue': '2882'}
{'City': '437', 'TotalValue': '2893'}
{'City': '438', 'TotalValue': '2934'}
{'City': '439', 'TotalValue': '2952'}
{'City': '440', 'TotalValue': '2973'}
{'City': '441', 'TotalValue': '2983'}
{'City': '442', 'TotalValue': '2990'}
{'City': '443', 'TotalValue': '3005'}
{'City': '444', 'TotalValue': '3017'}
{'City': '445', 'TotalValue': '3026'}
{'City': '446', 'TotalValue': '3037'}
{'City': '447', 'TotalValue': '3038'}
{'City': '448', 'TotalValue': '3042'}
{'City': '449', 'TotalValue': '3042'}
{'City': '450', 'TotalValue': '3051'}
{'City': '451', 'TotalValue': '3066'}
{'City': '452', 'TotalValue': '2710'}
{'City': '453', 'TotalValue': '2712'}
{'City': '454', 'TotalValue': '2715'}
{'City': '455', 'TotalValue': '2721'}
{'City': '456', 'TotalValue': '2721'}
{'City': '457', 'TotalValue': '2734'}
{'City': '458', 'TotalValue': '2753'}
{'City': '459', 'TotalValue': '2763'}
{'City': '460', 'TotalValue': '2793'}
{'City': '461', 'TotalValue': '2802'}
{'City': '462', 'TotalValue': '2810'}
{'City': '463', 'TotalValue': '2811'}
{'City': '464', 'TotalValue': '2824'}
{'City': '465', 'TotalValue': '2840'}
{'City': '466', 'TotalValue': '2855'}
{'City': '467', 'TotalValue': '2863'}
{'City': '468', 'TotalValue': '2867'}
{'City': '469', 'TotalValue': '2867'}
{'City': '470', 'TotalValue': '2882'}
{'City': '471', 'TotalValue': '2888'}
{'City': '472', 'TotalValue': '2888'}
{'City': '473', 'TotalValue': '2893'}
{'City': '474', 'TotalValue': '2916'}
{'City': '475', 'TotalValue': '2966'}
{'City': '476', 'TotalValue': '2973'}
{'City': '477', 'TotalValue': '2976'}
{'City': '478', 'TotalValue': '3067'}
{'City': '479', 'TotalValue': '3069'}
{'City': '480', 'TotalValue': '3073'}
{'City': '481', 'TotalValue': '3073'}
{'City': '482', 'TotalValue': '3073'}
{'City': '483', 'TotalValue': '3082'}
{'City': '484', 'TotalValue': '3085'}
{'City': '485', 'TotalValue': '3086'}
{'City': '486', 'TotalValue': '3102'}
{'City': '487', 'TotalValue': '3107'}
{'City': '488', 'TotalValue': '3110'}
{'City': '489', 'TotalValue': '3120'}
{'City': '490', 'TotalValue': '3131'}
{'City': '491', 'TotalValue': '3148'}
{'City': '492', 'TotalValue': '3149'}
{'City': '493', 'TotalValue': '3152'}
{'City': '494', 'TotalValue': '3157'}
{'City': '495', 'TotalValue': '3157'}
{'City': '496', 'TotalValue': '3187'}
{'City': '497', 'TotalValue': '3194'}
{'City': '498', 'TotalValue': '3196'}
{'City': '499', 'TotalValue': '3208'}
{'City': '500', 'TotalValue': '3210'}
{'City': '501', 'TotalValue': '3212'}
{'City': '502', 'TotalValue': '3233'}
{'City': '503', 'TotalValue': '3234'}
{'City': '504', 'TotalValue': '3007'}
{'City': '505', 'TotalValue': '3017'}
{'City': '506', 'TotalValue': '3019'}
{'City': '507', 'TotalValue': '3026'}
{'City': '508', 'TotalValue': '3026'}
{'City': '509', 'TotalValue': '3026'}
{'City': '510', 'TotalValue': '3045'}
{'City': '511', 'TotalValue': '3049'}
{'City': '512', 'TotalValue': '3061'}
{'City': '513', 'TotalValue': '3066'}
{'City': '514', 'TotalValue': '3082'}
{'City': '515', 'TotalValue': '3085'}
{'City': '516', 'TotalValue': '3086'}
{'City': '517', 'TotalValue': '3094'}
{'City': '518', 'TotalValue': '3095'}
{'City': '519', 'TotalValue': '3102'}
{'City': '520', 'TotalValue': '3110'}
{'City': '521', 'TotalValue': '3131'}
{'City': '522', 'TotalValue': '3131'}
{'City': '523', 'TotalValue': '3148'}
{'City': '524', 'TotalValue': '3157'}
{'City': '525', 'TotalValue': '3157'}
{'City': '526', 'TotalValue': '3181'}
{'City': '527', 'TotalValue': '3185'}
{'City': '528', 'TotalValue': '3196'}
{'City': '529', 'TotalValue': '3218'}
{'City': '530', 'TotalValue': '3251'}
{'City': '531', 'TotalValue': '3280'}
{'City': '532', 'TotalValue': '3288'}
{'City': '533', 'TotalValue': '3301'}
{'City': '534', 'TotalValue': '3312'}
{'City': '535', 'TotalValue': '3327'}
{'City': '536', 'TotalValue': '3338'}
{'City': '537', 'TotalValue': '3338'}
{'City': '538', 'TotalValue': '3340'}
{'City': '539', 'TotalValue': '3341'}
{'City': '540', 'TotalValue': '3348'}
{'City': '541', 'TotalValue': '3365'}
{'City': '542', 'TotalValue': '3365'}
{'City': '543', 'TotalValue': '3367'}
{'City': '544', 'TotalValue': '3410'}
{'City': '545', 'TotalValue': '3445'}
{'City': '546', 'TotalValue': '3445'}
{'City': '547', 'TotalValue': '3449'}
{'City': '548', 'TotalValue': '3460'}
{'City': '549', 'TotalValue': '3464'}
{'City': '550', 'TotalValue': '3466'}
{'City': '551', 'TotalValue': '3466'}
{'City': '552', 'TotalValue': '3468'}
{'City': '553', 'TotalValue': '3472'}
{'City': '554', 'TotalValue': '3473'}
{'City': '555', 'TotalValue': '3473'}
{'City': '556', 'TotalValue': '3233'}
{'City': '557', 'TotalValue': '3234'}
{'City': '558', 'TotalValue': '3238'}
{'City': '559', 'TotalValue': '3251'}
{'City': '560', 'TotalValue': '3275'}
{'City': '561', 'TotalValue': '3282'}
{'City': '562', 'TotalValue': '3282'}
{'City': '563', 'TotalValue': '3297'}
{'City': '564', 'TotalValue': '3301'}
{'City': '565', 'TotalValue': '3305'}
{'City': '566', 'TotalValue': '3312'}
{'City': '567', 'TotalValue': '3338'}
{'City': '568', 'TotalValue': '3346'}
{'City': '569', 'TotalValue': '3357'}
{'City': '570', 'TotalValue': '3365'}
{'City': '571', 'TotalValue': '3366'}
{'City': '572', 'TotalValue': '3440'}
{'City': '573', 'TotalValue': '3453'}
{'City': '574', 'TotalValue': '3464'}
{'City': '575', 'TotalValue': '3466'}
{'City': '576', 'TotalValue': '3472'}
{'City': '577', 'TotalValue': '3479'}
{'City': '578', 'TotalValue': '3481'}
{'City': '579', 'TotalValue': '3502'}
{'City': '580', 'TotalValue': '3515'}
{'City': '581', 'TotalValue': '3520'}
{'City': '582', 'TotalValue': '3488'}
{'City': '583', 'TotalValue': '3511'}
{'City': '584', 'TotalValue': '3513'}
{'City': '585', 'TotalValue': '3513'}
{'City': '586', 'TotalValue': '3515'}
{'City': '587', 'TotalValue': '3520'}
{'City': '588', 'TotalValue': '3524'}
{'City': '589', 'TotalValue': '3527'}
{'City': '590', 'TotalValue': '3535'}
{'City': '591', 'TotalValue': '3559'}
{'City': '592', 'TotalValue': '3559'}
{'City': '593', 'TotalValue': '3562'}
{'City': '594', 'TotalValue': '3563'}
{'City': '595', 'TotalValue': '3563'}
{'City': '596', 'TotalValue': '3563'}
{'City': '597', 'TotalValue': '3566'}
{'City': '598', 'TotalValue': '3591'}
{'City': '599', 'TotalValue': '3591'}
{'City': '600', 'TotalValue': '3596'}
{'City': '601', 'TotalValue': '3602'}
{'City': '602', 'TotalValue': '3614'}
{'City': '603', 'TotalValue': '3614'}
{'City': '604', 'TotalValue': '3627'}
{'City': '605', 'TotalValue': '3627'}
{'City': '606', 'TotalValue': '3629'}
{'City': '607', 'TotalValue': '3704'}
{'City': '608', 'TotalValue': '3525'}
{'City': '609', 'TotalValue': '3551'}
{'City': '610', 'TotalValue': '3562'}
{'City': '611', 'TotalValue': '3563'}
{'City': '612', 'TotalValue': '3582'}
{'City': '613', 'TotalValue': '3596'}
{'City': '614', 'TotalValue': '3614'}
{'City': '615', 'TotalValue': '3614'}
{'City': '616', 'TotalValue': '3632'}
{'City': '617', 'TotalValue': '3632'}
{'City': '618', 'TotalValue': '3696'}
{'City': '619', 'TotalValue': '3704'}
{'City': '620', 'TotalValue': '3726'}
{'City': '621', 'TotalValue': '3737'}
{'City': '622', 'TotalValue': '3742'}
{'City': '623', 'TotalValue': '3742'}
{'City': '624', 'TotalValue': '3742'}
{'City': '625', 'TotalValue': '3758'}
{'City': '626', 'TotalValue': '3766'}
{'City': '627', 'TotalValue': '3767'}
{'City': '628', 'TotalValue': '3768'}
{'City': '629', 'TotalValue': '3788'}
{'City': '630', 'TotalValue': '3802'}
{'City': '631', 'TotalValue': '3812'}
{'City': '632', 'TotalValue': '3820'}
{'City': '633', 'TotalValue': '3848'}
{'City': '634', 'TotalValue': '3759'}
{'City': '635', 'TotalValue': '3759'}
{'City': '636', 'TotalValue': '3765'}
{'City': '637', 'TotalValue': '3766'}
{'City': '638', 'TotalValue': '3785'}
{'City': '639', 'TotalValue': '3801'}
{'City': '640', 'TotalValue': '3813'}
{'City': '641', 'TotalValue': '3820'}
{'City': '642', 'TotalValue': '3857'}
{'City': '643', 'TotalValue': '3864'}
{'City': '644', 'TotalValue': '3902'}
{'City': '645', 'TotalValue': '3918'}
{'City': '646', 'TotalValue': '3922'}
{'City': '647', 'TotalValue': '3922'}
{'City': '648', 'TotalValue': '3922'}
{'City': '649', 'TotalValue': '3923'}
{'City': '650', 'TotalValue': '3925'}
{'City': '651', 'TotalValue': '3943'}
{'City': '652', 'TotalValue': '3951'}
{'City': '653', 'TotalValue': '3951'}
{'City': '654', 'TotalValue': '3955'}
{'City': '655', 'TotalValue': '3955'}
{'City': '656', 'TotalValue': '3956'}
{'City': '657', 'TotalValue': '3984'}
{'City': '658', 'TotalValue': '3993'}
{'City': '659', 'TotalValue': '4015'}
{'City': '660', 'TotalValue': '4015'}
{'City': '661', 'TotalValue': '3876'}
{'City': '662', 'TotalValue': '3885'}
{'City': '663', 'TotalValue': '3920'}
{'City': '664', 'TotalValue': '3920'}
{'City': '665', 'TotalValue': '3922'}
{'City': '666', 'TotalValue': '3931'}
{'City': '667', 'TotalValue': '3931'}
{'City': '668', 'TotalValue': '3943'}
{'City': '669', 'TotalValue': '3948'}
{'City': '670', 'TotalValue': '3948'}
{'City': '671', 'TotalValue': '3956'}
{'City': '672', 'TotalValue': '3956'}
